1970,per capita income (US$)
1971,3399.299037
1972,3768.297935
1973,4251.175484
1974,4804.463248
1975,5576.514583
1976,5998.144346
1977,7062.131392
1978,7100.12617
1979,7247.967035
1980,7602.912681
1981,8355.96812
1982,9434.390652
1983,9619.438377
1984,10416.53659
1985,10790.32872
1986,11018.95585
1987,11482.89153
1988,12974.80662
1989,15080.28345
1990,16426.72548
1991,16838.6732
1992,17266.09769
1993,16412.08309
1994,15875.58673
1995,15755.82027
1996,16369.31725
1997,16699.82668
1998,17310.75775
1999,16622.67187
2000,17581.02414
2001,18987.38241
2002,18601.39724
2003,19232.17556
2004,22739.42628
2005,25719.14715
2006,29198.05569
2007,32738.2629
2008,36144.48122
2009,37446.48609
2010,32755.17682
2011,38420.52289
2012,42334.71121
2013,42665.25597
2014,42676.46837
2015,41039.8936
2016,35175.18898
,34229.19363
